GEOID,TRACTCE,NAME,total_population,pct_white,pct_black,pct_asian,pct_indian,pct_hawaiian,pct_two_or_more_races,pct_hispanic,pct_female,pct_young_adults_20_34,pct_zero_car_ownership,unemployment_rate,pct_bachelors_plus,pct_drive_alone,pct_bike_to_work,pct_walk_to_work,housing_density,per_capita_income,land_area_sq_meters,population_density_sq_meter,housing_density_sq_meter
17031808400,808400,8084,4499,56.83,4.0,28.07,0.0,0.0,9.02,7.25,53.46,9.71,4.12,2.91,58.12,72.85,0.37,0.37,1646,47886.0,3153675,0.001427,0.000522
17031811100,811100,8111,6915,68.21,0.13,3.53,1.88,0.0,1.98,35.52,54.87,25.51,13.41,4.43,39.54,69.75,0.0,0.1,2987,32547.0,3648948,0.001895,0.000819
17031030500,030500,305,6439,66.24,5.85,3.0,0.54,0.4,21.32,19.68,43.75,29.23,19.63,1.79,77.0,34.05,2.26,1.51,3245,69823.0,618133,0.010417,0.00525
17031820501,820501,8205.01,5170,71.24,1.76,3.79,0.0,0.0,10.7,34.26,51.84,17.58,5.95,7.66,32.92,78.23,0.42,2.04,2178,34189.0,6654812,0.000777,0.000327
17031814700,814700,8147,5309,23.53,3.37,8.55,0.23,0.0,24.6,63.5,47.52,24.71,8.45,6.89,33.22,67.44,0.0,0.0,2030,33166.0,863826,0.006146,0.00235
17031819100,819100,8191,3966,66.41,1.92,0.71,0.23,0.0,10.36,48.59,49.39,17.9,9.1,7.3,32.59,72.34,0.0,4.91,2183,39265.0,2573890,0.001541,0.000848
17031828801,828801,8288.01,5257,37.84,41.35,2.64,0.42,0.0,14.59,11.28,49.36,12.55,2.5,6.7,63.07,56.18,0.0,0.0,1911,54316.0,4306537,0.001221,0.000444
17031990000,990000,9900,0,,,,,,,,,,,,,,,,0,-666666666.0,0,,
17031020500,020500,205,6796,27.99,16.83,29.36,0.47,0.0,16.49,16.82,48.5,17.36,25.37,7.08,34.33,49.14,3.28,5.14,2487,20755.0,771659,0.008807,0.003223
17031081300,081300,813,5768,67.11,8.82,15.78,0.0,0.0,4.39,6.03,52.79,31.19,46.48,1.53,86.78,26.24,0.0,24.79,4311,117311.0,202656,0.028462,0.021273
17031081000,081000,810,8442,73.1,10.39,10.28,0.07,0.0,4.64,6.5,60.33,52.75,67.37,2.35,71.53,10.37,2.84,38.31,6166,83407.0,298829,0.02825,0.020634
17031130100,130100,1301,4765,66.95,2.83,25.88,0.0,0.0,1.15,4.03,59.08,11.79,22.05,5.38,59.29,75.82,1.36,1.6,1977,32364.0,1839635,0.00259,0.001075
17031170200,170200,1702,3657,58.57,0.36,2.9,0.38,0.0,14.0,45.28,52.67,10.94,5.96,4.75,43.02,73.0,0.65,3.24,1293,37958.0,653046,0.0056,0.00198
17031170300,170300,1703,5039,61.68,0.0,5.6,0.0,0.0,13.22,33.66,49.87,18.44,3.81,3.85,34.41,66.13,0.0,0.32,1949,44828.0,1398898,0.003602,0.001393
17031170400,170400,1704,3963,73.38,5.25,2.3,0.2,0.0,5.07,28.51,47.74,14.16,5.41,6.92,37.13,71.41,0.0,0.0,1740,46144.0,769031,0.005153,0.002263
17031170500,170500,1705,5000,67.82,2.86,4.98,0.44,0.0,16.44,26.68,55.88,14.24,4.77,5.92,43.25,81.1,0.0,1.0,2135,44613.0,1539539,0.003248,0.001387
17031170600,170600,1706,2566,69.84,3.43,8.73,0.27,0.12,5.26,23.58,51.21,15.59,5.08,6.03,32.98,70.81,0.62,0.62,976,39445.0,566548,0.004529,0.001723
17031170700,170700,1707,3276,67.86,2.53,3.94,1.8,0.0,19.08,30.8,50.79,14.44,5.46,2.14,23.69,73.87,0.0,1.82,1208,31107.0,579654,0.005652,0.002084
