h3_index,lat,lng
8826645655fffff,41.68961892383362,-87.61466466149051
8826645657fffff,41.68213593572928,-87.60994469726516
8826645659fffff,41.69501321958188,-87.59661503985951
882664565bfffff,41.6875288687261,-87.59189723378633
882664565dfffff,41.69605833485856,-87.60800047147552
8826645661fffff,41.7002273967554,-87.65354412938328
8826645663fffff,41.69274545997812,-87.64881725173416
8826645665fffff,41.70126681206995,-87.66493052224916
8826645667fffff,41.69378535933588,-87.66020183122279
8826645669fffff,41.70666965895297,-87.64688446382176
882664566bfffff,41.699186841305824,-87.64215792697846
882664566dfffff,41.70770973040383,-87.65827248033973
88266456c1fffff,41.65220797445406,-87.59107954203785
88266456c3fffff,41.64472698383436,-87.5863669255349
88266456c5fffff,41.653253701393645,-87.60245448129119
88266456c9fffff,41.65864298151707,-87.58441707008721
88266456cbfffff,41.651161110048584,-87.57970479779542
88266456cdfffff,41.6596893653359,-87.59579362683974
88266456e9fffff,41.654298290795055,-87.61382961466371
88266456ebfffff,41.64681826184833,-87.60911337491746
8826645701fffff,41.69148912644551,-87.71239128099499
8826645703fffff,41.68401089057746,-87.70765647759626
8826645707fffff,41.68504492199678,-87.71903856123392
8826645709fffff,41.69793355809438,-87.70574203903571
882664570bfffff,41.69045444105293,-87.70100757243293
882664570dfffff,41.69896775776527,-87.71712755898153
8826645719fffff,41.681939409817474,-87.68489286933094
882664572bfffff,41.68607781401643,-87.73042083001651
8826645743fffff,41.704378216497766,-87.6990908346667
8826645745fffff,41.71289297808905,-87.71521539723982
8826645747fffff,41.705413070567914,-87.71047798042986
8826645751fffff,41.69586173859031,-87.68297155894624
8826645753fffff,41.68838165133063,-87.67824071605594
8826645757fffff,41.689418615991364,-87.68962405048855
8826645759fffff,41.70230508717877,-87.67631710468152
882664575bfffff,41.69482411889679,-87.67158660059157
882664575dfffff,41.70334222201142,-87.68770387578564
882664c101fffff,41.931864695878865,-87.63868639644497
882664c103fffff,41.92436247359639,-87.63393801704494
882664c105fffff,41.932905230308016,-87.65013007351222
882664c107fffff,41.92540349798851,-87.64537986195226
882664c10dfffff,41.93936730776785,-87.64343626352158
882664c115fffff,41.91686064130949,-87.62919112468786
882664c121fffff,41.92748208983561,-87.66826412979768
882664c123fffff,41.91998172757244,-87.66351174320144
882664c125fffff,41.928519657148904,-87.67970655092013
882664c127fffff,41.92101978571866,-87.67495233354711
882664c129fffff,41.93394461203568,-87.66157394324108
882664c12bfffff,41.9264433700919,-87.6568218998391
882664c12dfffff,41.93498284099106,-87.67301800472336
882664c131fffff,41.9114420543739,-87.64732227610457
882664c133fffff,41.90394198137771,-87.64257469450551
882664c135fffff,41.91248175459088,-87.65876084430117
882664c137fffff,41.904982171279904,-87.65401143246369
882664c139fffff,41.91790215529693,-87.64063113786446
882664c13bfffff,41.91040120262224,-87.6358839006154
882664c13dfffff,41.918942517408276,-87.65207134433808
882664c145fffff,41.953333482605885,-87.6414914797336
882664c147fffff,41.945829602018264,-87.6367404691679
882664c161fffff,41.947909862273505,-87.65963496158342
882664c163fffff,41.94040735186616,-87.65488177317792
882664c165fffff,41.94894826214597,-87.67108249628306
882664c167fffff,41.94144624285022,-87.66632747517771
882664c169fffff,41.95437369880776,-87.65294046324055
882664c16bfffff,41.946870308874,-87.64818761890871
882664c16dfffff,41.95541276114043,-87.66438963936301
882664c185fffff,41.88040129986516,-87.61690980735064
882664c18dfffff,41.886857219892285,-87.61021841302788
882664c1a1fffff,41.87498774251564,-87.6350286430896
882664c1a3fffff,41.86749011338593,-87.63028665707974
882664c1a5fffff,41.876028737940764,-87.64645825776267
882664c1a7fffff,41.868531597072305,-87.64171444397151
882664c1a9fffff,41.88144410650428,-87.62834086318857
882664c1abfffff,41.873945597545756,-87.6235992218025
882664c1adfffff,41.88248576325798,-87.63977211300117
882664c1b1fffff,41.85894975595495,-87.61412038882004
882664c1b5fffff,41.85999287625657,-87.62554615434034
882664c1b7fffff,41.852496031515116,-87.62080713424044
882664c1b9fffff,41.865403698686436,-87.60743166530666
882664c1bdfffff,41.86644748056677,-87.61885906389006
882664c1c7fffff,41.89331335717496,-87.60352503813775
882664c1e1fffff,41.89540046887852,-87.6263938841017
882664c1e3fffff,41.88790068858645,-87.62165110357193
882664c1e5fffff,41.89644229880844,-87.63782859890809
882664c1e7fffff,41.88894300705452,-87.63308398867981
882664c1ebfffff,41.894357488310135,-87.61495936354297
882664c1edfffff,41.90290064035325,-87.63113814957205
882664c801fffff,41.89386807490132,-87.76552840433317
882664c803fffff,41.886375451705725,-87.76076484162584
882664c807fffff,41.887403797501996,-87.77219652380936
882664c809fffff,41.90033257502326,-87.75885830704226
882664c80bfffff,41.89283907153495,-87.75409508055833
882664c80dfffff,41.90136108527981,-87.7702934562613
882664c811fffff,41.87785322759943,-87.74457309334736
882664c813fffff,41.870360887930445,-87.73981433135633
882664c815fffff,41.878883216082336,-87.75600276750711
882664c817fffff,41.871391368420326,-87.75124218134509
882664c819fffff,41.88431530924497,-87.73790202844981
882664c81bfffff,41.87682208928345,-87.7331436038424
882664c81dfffff,41.885345955597266,-87.74933334287076
882664c831fffff,41.873448880859115,-87.7740984326286
882664c833fffff,41.86595840605811,-87.76933568726004
882664c839fffff,41.879912054663734,-87.76743262541639
882664c83bfffff,41.87242069941931,-87.76267021540414
882664c841fffff,41.91429206827296,-87.75695061059656
882664c843fffff,41.906797297417306,-87.75218623123749
882664c845fffff,41.91532074309374,-87.76838922892937
882664c847fffff,41.90782646567274,-87.76362302295502
882664c849fffff,41.92075789262954,-87.75027621848612
