station_id,station_name,poi_tourism,poi_education,poi_medical,poi_shop,poi_leisure
13073,Ashland Ave & Lake St,3,1,0,1,0
13074,Broadway & Wilson Ave,3,2,1,19,0
13075,Wentworth Ave & Cermak Rd,15,1,1,32,0
13080,Hermitage Ave & Polk St,6,2,2,3,0
13081,Ogden Ave & Congress Pkwy,3,2,6,3,0
13083,Indiana Ave & 40th St,0,3,0,3,0
13084,California Ave & Milwaukee Ave,1,0,1,39,0
13085,Kedzie Ave & Milwaukee Ave,3,0,1,48,0
13089,Damen Ave & Cullerton St,1,1,0,4,0
13091,Western Ave & 21st St,0,0,1,12,0
13096,California Ave & 21st St,1,1,0,1,0
13099,Halsted St & 18th St,2,1,0,4,0
13102,Calumet Ave & 18th St,5,1,0,0,0
13108,Broadway & Argyle St,5,0,5,44,0
13109,Broadway & Berwyn Ave,0,0,2,12,0
13124,Cannon Dr & Fullerton Ave,21,0,0,4,0
13128,Clark St & North Ave,6,1,1,19,0
13132,Damen Ave & Chicago Ave,1,2,0,13,0
13133,Damen Ave & Cortland St,5,0,0,25,0
13134,Damen Ave & Madison St,4,0,0,1,0
13135,Blue Island Ave & 18th St,7,1,1,19,0
13136,Damen Ave & Division St,0,0,0,20,0
13137,Broadway & Barry Ave,1,1,3,46,0
13138,Canal St & Jackson Blvd,10,2,2,24,0
13139,Throop St & Taylor St,3,0,1,10,0
13143,Damen Ave & Melrose Ave,0,0,0,12,0
13144,Seeley Ave & Roscoe St,0,1,0,17,0
13146,Clark St & Armitage Ave,15,1,0,4,0
13150,Michigan Ave & 18th St,2,2,0,7,0
13154,Sheffield Ave & Kingsbury St,1,0,4,41,0
13155,Racine Ave & Randolph St,4,1,3,31,0
13156,Aberdeen St & Monroe St,3,0,0,27,0
13157,Aberdeen St & Jackson Blvd,4,0,0,20,0
13158,Peoria St & Jackson Blvd,10,1,4,40,0
13160,May St & Taylor St,2,0,1,6,0
13162,Halsted St & 21st St,2,1,0,3,0
13163,Morgan St & 18th St,2,1,0,7,0
13164,Racine Ave & 18th St,3,0,0,16,0
13165,Racine Ave & 13th St,2,0,1,0,0
13179,Clark St & Lincoln Ave,10,1,0,8,0
13191,Sedgwick St & Webster Ave,25,0,0,13,0
13192,Halsted St & Dickens Ave,4,1,2,24,0
13193,Larrabee St & Webster Ave,6,1,0,29,0
13194,Ogden Ave & Race Ave,0,0,0,10,0
13196,Carpenter St & Huron St,1,3,0,14,0
13197,Elizabeth St & Fulton St,1,1,2,14,0
13206,Loomis St & Jackson Blvd,0,2,0,5,0
13213,State St & 29th St,0,2,1,4,0
13215,Rhodes Ave & 32nd St,1,0,0,2,0
13216,State St & 33rd St,3,0,0,6,0
13217,Calumet Ave & 33rd St,2,0,1,11,0
13221,Wood St & Milwaukee Ave,2,1,2,84,0
13224,Ashland Ave & Blackhawk St,1,0,1,34,0
13229,Southport Ave & Belmont Ave,7,4,2,15,0
13235,Southport Ave & Waveland Ave,6,1,0,14,0
13241,Western Ave & Division St,2,3,2,19,0
13242,Milwaukee Ave & Rockwell St,1,0,0,26,0
13243,Milwaukee Ave & Wabansia Ave,12,1,0,60,0
13245,Claremont Ave & Hirsch St,3,1,0,13,0
13247,Ashland Ave & Chicago Ave,4,1,0,16,0
13248,Ashland Ave & Augusta Blvd,7,0,0,27,0
13249,Ashland Ave & Belle Plaine Ave,2,1,0,4,0
13253,Lincoln Ave & Waveland Ave,1,4,2,21,0
13256,California Ave & Division St,3,0,0,6,0
13257,Campbell Ave & North Ave,1,1,0,14,0
13258,California Ave & North Ave,2,1,1,4,0
13259,California Ave & Francis Pl (Temp),1,0,0,16,0
13263,Columbus Dr & Randolph St,14,1,5,11,0
13265,Kingsbury St & Erie St,0,1,0,3,0
13266,Stave St & Armitage Ave,1,0,0,23,0
13268,Damen Ave & Wellington Ave,0,0,0,0,0
13269,Ashland Ave & Wellington Ave,0,2,2,13,0
13271,Damen Ave & Clybourn Ave,2,0,0,12,0
13276,Stockton Dr & Wrightwood Ave,9,3,4,18,0
13277,Broadway & Belmont Ave,1,0,3,47,0
13278,Broadway & Cornelia Ave,1,0,3,34,0
13285,Wood St & Taylor St (Temp),3,1,2,4,0
13288,Damen Ave & Charleston St,1,0,0,9,0
13289,Eckhart Park,2,0,0,10,0
13290,Noble St & Milwaukee Ave,3,2,0,12,0
13292,Kedzie Ave & Palmer Ct,2,0,2,10,0
13294,Greenview Ave & Diversey Pkwy,0,6,1,9,0
13296,Ashland Ave & Wrightwood Ave,0,0,0,17,0
13300,DuSable Lake Shore Dr & Monroe St,4,0,0,1,0
13303,Clark St & Chicago Ave,7,1,2,51,0
13304,Racine Ave & 15th St,1,0,0,11,0
13307,Laflin St & Cullerton St,15,1,1,19,0
13319,Ashland Ave & Grace St,0,1,0,6,0
13323,Broadway & Sheridan Rd,1,4,2,49,0
13325,Broadway & Waveland Ave,3,2,4,38,0
13326,Canal St & Harrison St,1,0,2,5,0
13331,May St & Cullerton St,1,1,0,10,0
13332,Loomis St & Lexington St,3,1,0,7,0
13338,Mies van der Rohe Way & Chicago Ave,18,2,5,108,0
13341,Canal St & Madison St,12,2,2,43,0
13345,Calumet Ave & 35th St,1,0,1,12,0
13353,Ada St & Washington Blvd,4,1,0,11,0
13354,Ashland Ave & 13th St,1,1,1,8,0
