station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
1039,,,,,,,,,,,,,,,,,,,,5,5,4,4,4,,,,4,4,5,4,5,5,5,4,4,,4,,,,,,,4,5,,,,,,3,,,4
1040,,,,,,,,,,,,,,,,,,,,3,3,,3,3,3,3,3,,3,3,3,3,3,3,3,3,,,3,3,3,4,4,4,,,,,,,,4,4,,4
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,3,,4,,4,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,7,,5,,,4,4,,7,6,5,7,6,,,,,6,,,,9,6,10,6,10,,,,3,,,,,8
1043,,,,,,,,,,,,,,,,,,,,,,,4,,2,,,2,4,,,4,4,2,,,,4,,,,4,3,4,4,4,,,,,2,,,2,4
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,9,,11,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,5,,,5,,,,,,,7,6,,5,5,,,,,4,6,6,,7,,8,,,,,,,,5,
1046,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,2,,1,1,1,1,1,1,,2,1,2,2,1,1,1,,1,2,2,2,2,2,5,,6,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,4,2,2,3,2,2,2,2,3,4,4,5,,3,3,2,2,2,3,,4,3,2,7,2,7,2,2,2,2,2,3,3,5,3
1050,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,0,,0,,0,,0,,,,,0,,,,1,,1,,,,,,1,,,
1052,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1053,,,,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,8,8,7,,,,,,9,9,9,10,9,10,,10,,,,,,10,10,9,9,9,,,,,,10,9,10,10,
1055,,,,,,,,,,,,,,,,,,,,8,8,7,7,8,,,7,9,,9,10,9,10,9,10,,,9,9,9,10,10,9,9,9,9,,9,,,10,9,10,10,10
1056,,,,,,,,,,,,,,,,,,,,,8,7,,,7,,,,,9,10,9,10,9,10,,,,,,,10,9,,9,9,,,,9,,,,,
1057,,,,,,,,,,,,,,,,,,,,7,7,7,7,6,6,6,5,5,5,6,5,,6,5,5,5,5,,,,5,5,6,5,6,,,4,,,,5,5,5,
1058,,,,,,,,,,,,,,,,,,,,,7,7,,6,6,6,,5,5,6,5,5,6,5,5,5,,5,5,5,5,5,6,5,6,6,,4,4,6,5,5,5,5,4
1059,,,,,,,,,,,,,,,,,,,,,,,4,,,,,4,4,3,4,4,,4,,,,4,,4,4,5,5,5,5,5,,4,,,,,,4,4
1060,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5,5,,5,5,,,,,,,5,5,5,,5,5,5,,,,,,,,5,5
1061,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,5,,,,,,,,,,,,7,7,,,7,7,,,,,,5,,7,
1062,,,,,,,,,,,,,,,,,,,,2,3,,2,,,,,,,2,,2,2,,2,1,,,,2,3,4,,,4,,,3,3,3,3,,3,4,3
1063,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,1,3,3,,,,2,,,,,3,,3,3,,,4,,,,,,,,3,4,4
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,4,,,6,,,,,,,,3,,
1065,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,0,0,0,0,0,0,,,,,,,,1,1,1,,1,1,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,1,1,1,1,,,,1,,,1,
1067,,,,,,,,,,,,,,,,,,,,,5,4,,,,,,,,,,,4,3,,,,,2,,,,4,4,6,6,,,,,,,6,5,
1068,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,,,0,,,,,0,,,,0,,0,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,,,,,,0,0,0,0,0,,0,0,,,,0,0,,0,,0
1070,,,,,,,,,,,,,,,,,,,,,2,3,2,1,1,1,,,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,4,5,5,,,4,,,,,,5
1071,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,2,,,,,,,2,,3,,,,,,,,7,,,,,,,6,,
1072,,,,,,,,,,,,,,,,,,,,,3,,,3,,3,,,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,,3,3,,3,3,3,3
1073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
