station_id,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,202311,202312,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,202501,202502,202503,202504,202505,202506,202507
1039,,,,,,,,,,,,,,,,,,,,6,8,5,6,4,,,,5,7,5,6,6,10,7,5,4,,6,,,,,,,6,8,,,,,,6,,,5
1040,,,,,,,,,,,,,,,,,,,,6,6,,5,4,4,5,6,,5,6,6,4,5,5,6,5,,,5,5,6,7,7,7,,,,,,,,8,6,,6
1041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,5,,6,,6,,,,,,,,,
1042,,,,,,,,,,,,,,,,,,,,,5,,5,,,4,5,,5,6,4,4,5,,,,,5,,,,6,5,6,5,6,,,,4,,,,,4
1043,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,3,3,,,3,2,2,,,,2,,,,2,2,3,3,3,,,,,3,,,2,1
1044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,5,,5,,,,,,,,,
1045,,,,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,3,3,,3,3,,,,,4,3,4,,4,,4,,,,,,,,3,
1046,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,
1047,,,,,,,,,,,,,,,,,,,,,8,,7,8,9,7,7,8,,9,9,8,6,8,8,7,,7,9,6,9,9,10,10,,9,,,,,,,,,
1048,,,,,,,,,,,,,,,,,,,,,4,4,5,4,4,5,4,5,4,5,5,5,,4,4,4,3,4,4,,5,5,5,6,6,7,5,4,3,4,6,4,4,5,4
1050,,,,,,,,,,,,,,,,,,,,,12,,9,,,,,,9,,9,,11,,8,,,,,9,,,,10,,14,,,,,,10,,,
1052,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8
1053,,,,,,,,,,,,,,,,,,,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
1054,,,,,,,,,,,,,,,,,,,,6,6,5,,,,,,5,5,5,5,5,5,,5,,,,,,5,5,5,5,5,,,,,,5,5,5,5,
1055,,,,,,,,,,,,,,,,,,,,6,6,5,5,5,,,5,5,,5,5,5,5,5,5,,,5,5,5,5,5,5,5,5,6,,5,,,5,5,5,5,5
1056,,,,,,,,,,,,,,,,,,,,,6,5,,,5,,,,,5,5,5,5,5,5,,,,,,,5,5,,5,6,,,,5,,,,,
1057,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,3,3,3,3,,3,5,5,5,5,,,,7,7,7,7,7,,,7,,,,7,7,7,
1058,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,,3,3,3,3,3,3,5,5,5,,5,6,7,7,7,7,7,7,7,,7,6,7,7,7,7,7,7
1059,,,,,,,,,,,,,,,,,,,,,,,4,,,,,2,3,4,3,4,,3,,,,2,,4,6,6,4,4,4,4,,3,,,,,,6,5
1060,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,3,,3,5,,,,,,,4,8,8,,5,5,6,,,,,,,,8,6
1061,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,4,,,,,,,,,,,,5,6,,,5,5,,,,,,3,,5,
1062,,,,,,,,,,,,,,,,,,,,8,7,,7,,,,,,,7,,7,8,,7,7,,,,9,11,11,,,9,,,8,8,7,9,,10,11,11
1063,,,,,,,,,,,,,,,,,,,,,6,4,,,,,,4,4,4,,,,3,,,,,3,,4,4,,,9,,,,,,,,5,7,7
1064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,4,,,9,,,,,,,,6,,
1065,,,,,,,,,,,,,,,,,,,,,6,,4,,,,,4,5,5,5,4,5,,,,,,,,6,9,7,,8,6,,,,,,,,,
1066,,,,,,,,,,,,,,,,,,,,,,6,4,,,,,4,,,,,,,,,,,,,,,,5,8,6,3,,,,5,,,8,
1067,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,2,2,,,,,4,,,,3,1,3,3,,,,,,,2,4,
1068,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,0,,,,,0,,,,,0,,,,1,,1,,,,,,,,,
1069,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,,0,,0,,0,,,,,,,0,0,1,1,1,,1,1,,,,1,1,,1,,1
1070,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,,,3,,,,,,3
1071,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,2,,1,,,,,,,,3,,,,,,,2,,
1072,,,,,,,,,,,,,,,,,,,,,7,,,6,,6,,,7,9,9,9,9,9,9,10,7,,7,8,10,10,9,10,10,9,8,,7,7,,10,9,9,10
1073.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1084.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
